"name","numberOfCores","memoryInMB","linuxPrice","windowsPrice","bestPriceRegion"
"Basic_A0",1,0.75,"0.0180","0.0180","Korea South / -11.1%"
"Basic_A1",1,1.75,"0.0230","0.0320","US Gov Virginia / -5.2%"
"Basic_A2",2,3.5,"0.0790","0.1330","US Gov Virginia / -21.8%"
"Basic_A3",4,7,"0.1760","0.2960","US Gov AZ / -9.1%"
"Basic_A4",8,14,"0.3520","0.5920","US Gov TX / -9.1%"
"Standard_A0",1,0.75,"0.0200","0.0200","Korea South / -10%"
"Standard_A1",1,1.75,"0.0600","0.0900","West Central US / -15%"
"Standard_A1_v2",1,2,"0.0430","0.0650","West US 2 / -16.3%"
"Standard_A2",2,3.5,"0.1200","0.1800","West Central US / -15.8%"
"Standard_A2_v2",2,4,"0.0903","0.1360","West US 2 / -16.3%"
"Standard_A2m_v2",2,16,"0.1190","0.1800","West US 3 / -16.8%"
"Standard_A3",4,7,"0.2400","0.3600","West Central US / -15.8%"
"Standard_A4",8,14,"0.4800","0.7200","West Central US / -15.6%"
"Standard_A4_v2",4,8,"0.1910","0.2860","West US 3 / -16.8%"
"Standard_A4m_v2",4,32,"0.2370","0.3600","West US 2 / -16%"
"Standard_A5",2,14,"0.2500","0.3300","Korea South / -38%"
"Standard_A6",4,28,"0.5000","0.6600","Korea South / -38.2%"
"Standard_A7",8,56,"1.0000","1.3200","Korea South / -38.2%"
"Standard_A8_v2",8,16,"0.3990","0.6000","West US 3 / -16.5%"
"Standard_A8m_v2",8,64,"0.4750","0.7200","West US 2 / -16.4%"
"Standard_B12ms",12,48,"0.4990","0.5470","West US 3 / 0%"
"Standard_B16als_v2",16,32,"0.5330","0.6060","Jio India West / -34.5%"
"Standard_B16as_v2",16,64,"0.6750","0.6750","Jio India West / -41.6%"
"Standard_B16ls_v2",16,32,"0.6630","0.6630","Spain Central / -87.8%"
"Standard_B16ms",16,64,"0.6660","0.7300","East US 2 / 0%"
"Standard_B16pls_v2",16,32,"0.5500","0.5500","Jio India West / -42.4%"
"Standard_B16ps_v2",16,64,"0.6110","0.6110","Jio India West / -41.4%"
"Standard_B16s_v2",16,64,"0.7390","0.7390","Spain Central / -87.7%"
